source,source_name,target,target_name,source_affiliation,target_affiliation,publications_xid,publications_title,publications_abtract
ur.010207033721.05,"Heng, Fei",ur.01276621531.69,"Gilg, MR",UNF,UNF,['pub.1151970373'],['Acclimation to elevated temperatures in Acropora cervicornis: effects of host genotype and symbiont shuffling'],"[' Climate change is increasing the average surface temperatures of tropical waters, creating unfavorable conditions for corals. Some species of coral can physiologically acclimate to elevated temperatures, but the degree to which genetic variation underlies differences in this ability is currently unknown. Acclimation to elevated temperatures in coral has been hypothesized to be due to either alterations in the symbiont community or to changes in gene expression. The present study investigated the ability of Acropora cervicornis to acclimate to elevated temperatures, estimated the heritability of plasticity in upper thermal tolerance, and tested whether observed acclimation patterns could be explained by symbiont shuffling. Coral fragments from a nursery in the Florida Keys (USA) were acclimated at either ambient (27 ± 1°C) or elevated (30 ± 1°C) temperatures and then exposed to a second heat stress (32 ± 1°C) and monitored for mortality. Fragments acclimated to elevated temperatures showed significantly longer lifespans in the subsequent heat stress than did those acclimated at ambient temperature. The ability to acclimate to elevated temperatures differed significantly among coral genets, yielding low, but significant, estimates of broad-sense heritability. A subsequent experiment revealed no changes in either bacterial or dinoflagellate communities of symbionts as a result of acclimation, suggesting that symbiont shuffling did not account for the differences in lifespan between treatments. While estimates of heritability were low, the results suggest that plasticity in upper thermal tolerance significantly differs among coral genets, and that acclimation is likely a result of alterations in gene expression as opposed to symbiont shuffling. ']"
ur.012203646316.37,"Brown, D T",ur.010610705316.99,"Bryant, C T",UNF,UNF,['pub.1144322876'],['Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films'],"['We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals.']"
ur.012203646316.37,"Brown, D T",ur.01205676640.74,"Pekarek, T M",UNF,UNF,['pub.1144322876'],['Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films'],"['We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals.']"
ur.012203646316.37,"Brown, D T",ur.015655350752.42,"Tavera, R Marquez",UNF,UNF,['pub.1144322876'],['Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films'],"['We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals.']"
ur.012203646316.37,"Brown, D T",ur.0623042577.72,"Warusawithana, M P",UNF,UNF,['pub.1144322876'],['Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films'],"['We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals.']"
ur.012203646316.37,"Brown, D T",ur.010013324716.10,"Payne, J A",UNF,UNF,['pub.1144322876'],['Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films'],"['We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals.']"
ur.010610705316.99,"Bryant, C T",ur.012203646316.37,"Brown, D T",UNF,UNF,['pub.1144322876'],['Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films'],"['We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals.']"
ur.010610705316.99,"Bryant, C T",ur.01205676640.74,"Pekarek, T M",UNF,UNF,['pub.1144322876'],['Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films'],"['We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals.']"
ur.010610705316.99,"Bryant, C T",ur.015655350752.42,"Tavera, R Marquez",UNF,UNF,['pub.1144322876'],['Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films'],"['We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals.']"
ur.010610705316.99,"Bryant, C T",ur.0623042577.72,"Warusawithana, M P",UNF,UNF,['pub.1144322876'],['Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films'],"['We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals.']"
ur.010610705316.99,"Bryant, C T",ur.010013324716.10,"Payne, J A",UNF,UNF,['pub.1144322876'],['Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films'],"['We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals.']"
ur.01205676640.74,"Pekarek, T M",ur.012203646316.37,"Brown, D T",UNF,UNF,['pub.1144322876'],['Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films'],"['We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals.']"
ur.01205676640.74,"Pekarek, T M",ur.010610705316.99,"Bryant, C T",UNF,UNF,['pub.1144322876'],['Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films'],"['We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals.']"
ur.01205676640.74,"Pekarek, T M",ur.015655350752.42,"Tavera, R Marquez",UNF,UNF,['pub.1144322876'],['Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films'],"['We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals.']"
ur.01205676640.74,"Pekarek, T M",ur.0623042577.72,"Warusawithana, M P",UNF,UNF,['pub.1144322876'],['Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films'],"['We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals.']"
ur.01205676640.74,"Pekarek, T M",ur.010013324716.10,"Payne, J A",UNF,UNF,['pub.1144322876'],['Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films'],"['We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals.']"
ur.015655350752.42,"Tavera, R Marquez",ur.012203646316.37,"Brown, D T",UNF,UNF,['pub.1144322876'],['Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films'],"['We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals.']"
ur.015655350752.42,"Tavera, R Marquez",ur.010610705316.99,"Bryant, C T",UNF,UNF,['pub.1144322876'],['Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films'],"['We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals.']"
ur.015655350752.42,"Tavera, R Marquez",ur.01205676640.74,"Pekarek, T M",UNF,UNF,['pub.1144322876'],['Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films'],"['We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals.']"
ur.015655350752.42,"Tavera, R Marquez",ur.0623042577.72,"Warusawithana, M P",UNF,UNF,['pub.1144322876'],['Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films'],"['We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals.']"
ur.015655350752.42,"Tavera, R Marquez",ur.010013324716.10,"Payne, J A",UNF,UNF,['pub.1144322876'],['Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films'],"['We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals.']"
