xid,researcher_id,affiliations,full_name,Area,title,abstract
pub.1144235241,ur.01045674423.55,UNF,"Gellers, Joshua C.",Education,Earth system law: Exploring new frontiers in legal science,"The Anthropocene requires of us to rethink global governance challenges and effective responses with a more holistic understanding of the earth system as a single intertwined social-ecological system. Law, in particular, will have to embrace such a holistic earth system perspective in order to deal more effectively with the Anthropocene's predicaments. While a growing number of scholars have tried to reimagine law and legal scholarship in a more holistic way, these attempts remain siloed. What is required is a shared epistemic framework to enable and enhance collaborative intradisciplinary and interdisciplinary research and co-learning that go hand in hand with thorough transdisciplinary stakeholder engagement. We argue that the nascent concept of earth system law offers such an overarching epistemic framework. This article serves as an invitation to fellow explorers from various legal fields, other disciplines, and from a wide range of stakeholders to explore new frontiers in earth system law. Our aim is to further stimulate the study of earth system law, and to encourage collaboration and co-learning in a fertile epistemic space that we share."
pub.1144322876,ur.012203646316.37,UNF,"Brown, D T",Physical Sciences,Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films,"We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals."
pub.1144322876,ur.010610705316.99,UNF,"Bryant, C T",Physical Sciences,Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films,"We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals."
pub.1144322876,ur.01205676640.74,UNF,"Pekarek, T M",Physical Sciences,Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films,"We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals."
pub.1144322876,ur.015655350752.42,UNF,"Tavera, R Marquez",Physical Sciences,Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films,"We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals."
pub.1144322876,ur.0623042577.72,UNF,"Warusawithana, M P",Physical Sciences,Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films,"We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals."
pub.1144322876,ur.010013324716.10,UNF,"Payne, J A",Physical Sciences,Doping dependent electronic and magnetic ordering in mixed-valent La1−x Sr x MnO3 thin films,"We have investigated the collective electronic and magnetic orderings of a series of La1−x Sr x MnO3 thin films grown epitaxially strained to (001) oriented strontium titanate substrates as a function of doping, x, for 0 ≤ x ≤ 0.4. We find that the ground states of these crystalline thin films are, in general, consistent with that observed in bulk crystals and thin film samples synthesized under a multitude of techniques. Our systematic study, however, reveal subtle features in the temperature dependent electronic transport and magnetization measurements, which presumably arise due to Jahn-Teller type distortions in the lattice for particular doping levels. For the parent compound LaMnO3 (x = 0), we report evidence of a strain-induced ferromagnetic ordering in contrast to the antiferromagnetic ground state found in bulk crystals."
pub.1144372730,ur.010522777445.09,UNF,"Wilson, Hope E.",Education,"Resolving the Conflict in Gifted Education: The Missing Piece in Discussions of Inequity of Identification, Service, and Achievement for Advanced Learners",
pub.1144555682,ur.010747712675.93,UNF,"Zhang, Justin Zuopeng",Information and Computing Sciences,Intellectual structure of cybersecurity research in enterprise information systems,"Enterprises aspire for ongoing and effective information systems security. Cybersecurity frameworks ensure the availability, confidentiality, and integrity of information. Inspired by the omnipresent challenges and ever-increasing spending by enterprises, we identify the state of research on cybersecurity in enterprises. We employ citation, co-citation, centrality, and citation-path analysis to uncover its intellectual core. Our study reveals five core themes of cybersecurity research: (a) artificial intelligence in cybersecurity, (b) grids, networks, and platform security, (c) algorithms & methods, (d) optimisation & modelling, and (e) cybersecurity management. We discuss the implications for EIS and opportunities for research in each of these themes."
pub.1144618786,ur.01361405744.81,UNF,"Talwar, Devki N.",Physical Sciences,"Symmetry adapted impurity modes in as grown n-type GaP:X and GaSb:X (X = S, Se and Te)","A comprehensive average-t-matrix Green’s function (ATM-GF) theory is used, in the framework of a realistic rigid-ion-model, to simulate the symmetry induced vibrational modes of different defect centers in GaP:X and GaSb:X (X = S, Se and Te) crystals. Explicit calculations are performed for isolated 32 S P + (34 S P + ) defects, nearest-neighbor 32 S P + - C u G a 2 - (34 S P + - C u G a 2 - ) pairs in GaP, and next-nearest-neighbor complex 32 S S b + - G a S b 2 - (34 S S b + - G a S b 2 - ) center in GaSb by using apposite perturbation ( P ↔ ) and Green’s function ( G ↔ o ) matrix elements. For the isolated closest mass isoelectronic and charged (donor and acceptor) defects, the study has provided a convincing empirical relationship associating the increase or decrease of force constant change between impurity-host atoms to the increase or decrease of covalency of impurity-host bond. The rule has accurately predicted the observed isotopic shifts of local vibrational and/or gap modes of isolated impurities and offered modes for different “donor–acceptor” pairs of reduced symmetry. We feel that the ATM-GF method will play a significant role identifying the site selectivity of defects for estimating their mode frequencies in the technologically important semiconductor materials."
pub.1144643035,ur.016543173506.26,UNF,"Smith, Hailey","Commerce, Management, Tourism and Services",Striking a Balance between Work and Play: The Effects of Work–Life Interference and Burnout on Faculty Turnover Intentions and Career Satisfaction,"BACKGROUND: The interactions between work and personal life are important for ensuring well-being, especially during COVID-19 where the lines between work and home are blurred. Work-life interference/imbalance can result in work-related burnout, which has been shown to have negative effects on faculty members' physical and psychological health. Although our understanding of burnout has advanced considerably in recent years, little is known about the effects of burnout on nursing faculty turnover intentions and career satisfaction.
OBJECTIVE: To test a hypothesized model examining the effects of work-life interference on nursing faculty burnout (emotional exhaustion and cynicism), turnover intentions and, ultimately, career satisfaction.
DESIGN: A predictive cross-sectional design was used.
SETTINGS: An online national survey of nursing faculty members was administered throughout Canada in summer 2021.
PARTICIPANTS: Nursing faculty who held full-time or part-time positions in Canadian academic settings were invited via email to participate in the study.
METHODS: Data were collected from an anonymous survey housed on Qualtrics. Descriptive statistics and reliability estimates were computed. The hypothesized model was tested using structural equation modeling.
RESULTS: Data suggest that work-life interference significantly increases burnout which contributes to both higher turnover intentions and lower career satisfaction. Turnover intentions, in turn, decrease career satisfaction.
CONCLUSIONS: The findings add to the growing body of literature linking burnout to turnover and dissatisfaction, highlighting key antecedents and/or drivers of burnout among nurse academics. These results provide suggestions for suitable areas for the development of interventions and policies within the organizational structure to reduce the risk of burnout during and post-COVID-19 and improve faculty retention."
pub.1144643035,ur.01302000265.19,UNF,"Hamadi, Hanadi Y.",Health Sciences,Striking a Balance between Work and Play: The Effects of Work–Life Interference and Burnout on Faculty Turnover Intentions and Career Satisfaction,"BACKGROUND: The interactions between work and personal life are important for ensuring well-being, especially during COVID-19 where the lines between work and home are blurred. Work-life interference/imbalance can result in work-related burnout, which has been shown to have negative effects on faculty members' physical and psychological health. Although our understanding of burnout has advanced considerably in recent years, little is known about the effects of burnout on nursing faculty turnover intentions and career satisfaction.
OBJECTIVE: To test a hypothesized model examining the effects of work-life interference on nursing faculty burnout (emotional exhaustion and cynicism), turnover intentions and, ultimately, career satisfaction.
DESIGN: A predictive cross-sectional design was used.
SETTINGS: An online national survey of nursing faculty members was administered throughout Canada in summer 2021.
PARTICIPANTS: Nursing faculty who held full-time or part-time positions in Canadian academic settings were invited via email to participate in the study.
METHODS: Data were collected from an anonymous survey housed on Qualtrics. Descriptive statistics and reliability estimates were computed. The hypothesized model was tested using structural equation modeling.
RESULTS: Data suggest that work-life interference significantly increases burnout which contributes to both higher turnover intentions and lower career satisfaction. Turnover intentions, in turn, decrease career satisfaction.
CONCLUSIONS: The findings add to the growing body of literature linking burnout to turnover and dissatisfaction, highlighting key antecedents and/or drivers of burnout among nurse academics. These results provide suggestions for suitable areas for the development of interventions and policies within the organizational structure to reduce the risk of burnout during and post-COVID-19 and improve faculty retention."
pub.1144701423,ur.01017745776.03,UNF,"Barnes, Amber N.",Biological Sciences,"A Systematic Review of Zoonotic Enteric Parasites Carried by Flies, Cockroaches, and Dung Beetles","Filth flies, cockroaches, and dung beetles have been close neighbors with humans and animals throughout our joint histories. However, these insects can also serve as vectors for many zoonotic enteric parasites (ZEPs). Zoonoses by ZEPs remain a paramount public health threat due to our close contact with animals, combined with poor water, sanitation, and hygiene access, services, and behaviors in many global regions. Our objective in this systematic review was to determine which ZEPs have been documented in these vectors, to identify risk factors associated with their transmission, and to provide effectual One Health recommendations for curbing their spread. Using PRISMA guidelines, a total of 85 articles published from 1926 to 2021 were reviewed and included in this study. Qualitative analysis revealed that the most common parasites associated with these insects included, but were not limited to: <i>Ascaris</i> spp., <i>Trichuris</i> spp., <i>Entamoeba</i> spp., and <i>Cryptosporidium</i> spp. Additionally, prominent risk factors discovered in the review, such as poor household and community WASH services, unsafe food handling, and exposure to domestic animals and wildlife, significantly increase parasitic transmission and zoonoses. The risk of insect vector transmission in our shared environments makes it critically important to implement a One Health approach in reducing ZEP transmission."
pub.1144701423,ur.010134425154.29,UNF,"Jenkins, Meg",Biological Sciences,"A Systematic Review of Zoonotic Enteric Parasites Carried by Flies, Cockroaches, and Dung Beetles","Filth flies, cockroaches, and dung beetles have been close neighbors with humans and animals throughout our joint histories. However, these insects can also serve as vectors for many zoonotic enteric parasites (ZEPs). Zoonoses by ZEPs remain a paramount public health threat due to our close contact with animals, combined with poor water, sanitation, and hygiene access, services, and behaviors in many global regions. Our objective in this systematic review was to determine which ZEPs have been documented in these vectors, to identify risk factors associated with their transmission, and to provide effectual One Health recommendations for curbing their spread. Using PRISMA guidelines, a total of 85 articles published from 1926 to 2021 were reviewed and included in this study. Qualitative analysis revealed that the most common parasites associated with these insects included, but were not limited to: <i>Ascaris</i> spp., <i>Trichuris</i> spp., <i>Entamoeba</i> spp., and <i>Cryptosporidium</i> spp. Additionally, prominent risk factors discovered in the review, such as poor household and community WASH services, unsafe food handling, and exposure to domestic animals and wildlife, significantly increase parasitic transmission and zoonoses. The risk of insect vector transmission in our shared environments makes it critically important to implement a One Health approach in reducing ZEP transmission."
pub.1144752249,ur.01365551077.18,UNF,"Churilla, James R",Biomedical and Clinical Sciences,Ultra-Processed Food Intake in U.S. Adolescents: National Public Health Implications,
pub.1144757339,ur.010420777413.09,UNF,"Beasley, Berrin","Language, Communication and Culture",Personalization of politicians on Instagram: what Generation Z wants to see in political posts,"While research has examined how politicians engage in personalized presentations of themselves and their policies, and how journalists personalize political coverage, few studies have asked voters what types of personalization they wish to see from politicians. In-depth interviews with Generation Z, who heavily use Instagram, identify visual and verbal elements of politicians’ Instagram posts that they consider influential on their beliefs and actions. Responses reveal several elements, including two that expand the contours of what constitutes persuasive political personalization. Successful personalization includes politicians participating in two-way conversations with followers and adopting a backstage pass aesthetic when showing what politicians do on the job and how they feel about it. Both tactics can make politicians seem credible and personally relatable, which is the foundation for effective electronic word-of-mouth communication."
pub.1144757339,ur.016211170323.08,UNF,"Parmelee, John H.","Language, Communication and Culture",Personalization of politicians on Instagram: what Generation Z wants to see in political posts,"While research has examined how politicians engage in personalized presentations of themselves and their policies, and how journalists personalize political coverage, few studies have asked voters what types of personalization they wish to see from politicians. In-depth interviews with Generation Z, who heavily use Instagram, identify visual and verbal elements of politicians’ Instagram posts that they consider influential on their beliefs and actions. Responses reveal several elements, including two that expand the contours of what constitutes persuasive political personalization. Successful personalization includes politicians participating in two-way conversations with followers and adopting a backstage pass aesthetic when showing what politicians do on the job and how they feel about it. Both tactics can make politicians seem credible and personally relatable, which is the foundation for effective electronic word-of-mouth communication."
pub.1144757339,ur.015421253027.94,UNF,"Perkins, Stephynie C.","Language, Communication and Culture",Personalization of politicians on Instagram: what Generation Z wants to see in political posts,"While research has examined how politicians engage in personalized presentations of themselves and their policies, and how journalists personalize political coverage, few studies have asked voters what types of personalization they wish to see from politicians. In-depth interviews with Generation Z, who heavily use Instagram, identify visual and verbal elements of politicians’ Instagram posts that they consider influential on their beliefs and actions. Responses reveal several elements, including two that expand the contours of what constitutes persuasive political personalization. Successful personalization includes politicians participating in two-way conversations with followers and adopting a backstage pass aesthetic when showing what politicians do on the job and how they feel about it. Both tactics can make politicians seem credible and personally relatable, which is the foundation for effective electronic word-of-mouth communication."
pub.1144757451,ur.014524340273.62,UNF,"Galanti, Terrie M.",Education,Researchers as Coaches: Developing Mathematics Teaching Capacity Using MEAs for STEM Integration,"The purpose of this study was to explore how university researcher professional development design decisions built and sustained K-8 partnerships which foregrounded mathematics in integrated STEM via model-eliciting activities (MEAs). We applied a self-study methodology to facilitate a longitudinal examination of our practice in this multi-year project. We used the Decision-Making Protocol for Mathematics Coaching to understand our collaboration with division stakeholders as they worked toward integrating MEAs with district curriculum and pacing. Analysis of professional development artifacts, evidence of scholarship, and researcher memos revealed four recalibration points driven by district initiatives and leadership changes. Coaching with MEAs created opportunities for equitable student engagement and formative assessment. Implications for designing professional development that emphasizes explicit connections between the constraints of mathematics curriculum and the possibilities of teaching and learning through STEM integration are presented."
pub.1144820472,ur.0644663313.57,UNF,"Chatterjee, Chiradip",Economics,Energy conservation and health risk reduction: an experimental investigation of punishing vs. rewarding incentives,"Combustion of fossil fuels is the major source of energy in the United States and around the world. The combustion causes emission of greenhouse gases and particle pollution, which leads to health hazards. As people become increasingly conscious of their carbon footprints, they may choose to reduce their energy consumption using a variety of energy-saving technologies. We design a context-rich incentivized decision-making experiment in a laboratory set-up. The decision scenario has been enriched with elements of a public good, risk, and intertemporal discounting. Each subject represents a household and decides how much to spend on energy-saving technologies that can reduce future energy costs and emissions. The reduction in emission decreases health risk and medical costs for an individual and everyone else in the group. Discounting is represented by the ability to save, with interest. Each subject plays three sections (baseline, a treatment, and a repeated baseline). Each section had 30 rounds. The treatment has a threshold public good feature of energy-savings. The emission tax level depends on the aggregate energy-savings. Subjects exhibit significant learning effect and tend to increase adoption rate of energy-saving technologies over time. The adoption rate significantly improves when subjects can reduce their emission tax obligations by decreasing their energy consumption. There is no evidence of significant change in behavior when subjects learn energy-saving choices made by other group members."
pub.1144857579,ur.01337755147.18,UNF,"Johnson, Tammie M.",Biomedical and Clinical Sciences,Mode of Physical Activity Participation in US Adults: A Regional Perspective,"OBJECTIVE: Examine the mode of physical activity (PA) participation in United States adults by US Census region.
METHODS: The study sample (N = 323,435) included adult (18 years of age and older) participants from the 2019 Behavioral Risk Factor Surveillance System. Participants reported meeting both aerobic and muscle strengthening activity (MSA) guidelines, the aerobic-only guideline, the MSA only guideline, or neither.
RESULTS: The greatest prevalence estimate of meeting the mutually exclusive aerobic and MSA guideline was found in the West Census Region (24.3, 95% confidence interval 23.6-24.9) and the greatest prevalence estimate of meeting neither aerobic nor MSA guideline was found in the South Census Region (38.1%, 95% confidence interval 37.5-38.7). Physical and mental health were found to be positively associated with PA and non-Hispanic Blacks and Hispanics reported the greatest levels of meeting neither federal PA recommendation.
CONCLUSIONS: These data suggest that mode of PA participation varies by demographics and census region in US adults. State and local health departments should communicate between and within regions and disseminate information to raise awareness of the health benefits of meeting the federal PA guidelines."
pub.1144857579,ur.01253770701.51,UNF,"Richardson, Michael R.",Biomedical and Clinical Sciences,Mode of Physical Activity Participation in US Adults: A Regional Perspective,"OBJECTIVE: Examine the mode of physical activity (PA) participation in United States adults by US Census region.
METHODS: The study sample (N = 323,435) included adult (18 years of age and older) participants from the 2019 Behavioral Risk Factor Surveillance System. Participants reported meeting both aerobic and muscle strengthening activity (MSA) guidelines, the aerobic-only guideline, the MSA only guideline, or neither.
RESULTS: The greatest prevalence estimate of meeting the mutually exclusive aerobic and MSA guideline was found in the West Census Region (24.3, 95% confidence interval 23.6-24.9) and the greatest prevalence estimate of meeting neither aerobic nor MSA guideline was found in the South Census Region (38.1%, 95% confidence interval 37.5-38.7). Physical and mental health were found to be positively associated with PA and non-Hispanic Blacks and Hispanics reported the greatest levels of meeting neither federal PA recommendation.
CONCLUSIONS: These data suggest that mode of PA participation varies by demographics and census region in US adults. State and local health departments should communicate between and within regions and disseminate information to raise awareness of the health benefits of meeting the federal PA guidelines."
